feature,importance
numeric__hour_cos,0.6426102893723856
numeric__hour,0.13338868767654485
numeric__hour_sin,0.04427908030064923
numeric__day_of_week_sin,0.03637274385315297
numeric__day_of_week,0.03559560009619134
numeric__is_weekend,0.027829359118927956
numeric__day,0.014168158649652804
categorical__peak_period_Midday,0.012312669430155932
numeric__temperature_celsius,0.006507672143750461
numeric__temp,0.006356805394021949
numeric__month,0.005247947081189732
numeric__day_of_week_cos,0.004815798007135768
numeric__year,0.004534070065024061
numeric__month_cos,0.004327206280580742
categorical__peak_period_Night,0.0037083196241263173
numeric__month_sin,0.002994544698360249
numeric__rain_1h,0.0022035470366487788
numeric__clouds_all,0.0020653561075589613
categorical__time_period_Afternoon,0.0017080712863020366
numeric__is_rush_hour,0.0012125490255707845
categorical__time_period_Morning,0.0009455287452231984
categorical__time_period_Night,0.000909440663845079
categorical__peak_period_Off Peak,0.0007557984407342128
categorical__weather_main_Clouds,0.0006655010606140514
categorical__weather_description_overcast clouds,0.000478408391064206
categorical__weather_description_broken clouds,0.0004558440746851547
categorical__weather_description_sky is clear,0.00033002054657908954
categorical__weather_description_scattered clouds,0.00030527462286783047
categorical__peak_period_Morning Peak,0.00027178229626162714
categorical__peak_period_Evening Peak,0.0002553254140454695
categorical__weather_description_few clouds,0.00020027330279078143
categorical__weather_main_Clear,0.00019858504776074264
categorical__weather_main_Snow,0.00019761961510881518
categorical__weather_description_mist,0.00018027243139595348
categorical__weather_main_Mist,0.00017525755174610289
categorical__weather_main_Rain,0.00017105489598682314
categorical__weather_description_snow,0.00014949344556422953
categorical__weather_description_light snow,0.00013908461808405227
categorical__time_period_Evening,0.00012819224415678277
categorical__weather_description_light rain,9.393134886633555e-05
categorical__weather_main_Thunderstorm,9.364957611743346e-05
categorical__weather_description_haze,9.082542795385844e-05
categorical__weather_main_Haze,8.691554578229309e-05
categorical__weather_description_moderate rain,7.012488823288024e-05
categorical__weather_description_Sky is Clear,6.925166136486831e-05
categorical__weather_description_heavy snow,6.274544053554582e-05
categorical__weather_main_Fog,5.0544987545906205e-05
categorical__weather_description_fog,5.0267804496917826e-05
categorical__weather_description_heavy intensity rain,3.637959171367469e-05
numeric__snow_1h,3.0763100014250825e-05
categorical__weather_main_Drizzle,2.1670843372514303e-05
categorical__weather_description_proximity thunderstorm,2.1497107071119082e-05
categorical__weather_description_drizzle,1.9112582671305616e-05
categorical__weather_description_light intensity drizzle,1.2031961839123678e-05
categorical__weather_description_proximity shower rain,1.0843377430424692e-05
categorical__holiday_Christmas Day,1.0298236973282413e-05
categorical__holiday_New Years Day,9.79606400352853e-06
categorical__holiday_Memorial Day,2.0396933414873883e-06
categorical__weather_description_thunderstorm with light rain,1.4820851742516236e-06
categorical__holiday_Labor Day,1.4495823764499042e-06
categorical__holiday_Independence Day,8.767601373383483e-07
categorical__holiday_Thanksgiving Day,7.16536347603247e-07
categorical__weather_description_very heavy rain,3.8260302482362774e-07
categorical__holiday_State Fair,3.1028359495939045e-07
categorical__weather_description_thunderstorm,2.6857998125850103e-07
categorical__holiday_Washingtons Birthday,1.854920224488531e-07
categorical__weather_description_heavy intensity drizzle,1.413277219527884e-07
categorical__holiday_Columbus Day,8.063013779213747e-08
categorical__holiday_Martin Luther King Jr Day,6.305924220075474e-08
categorical__weather_description_light intensity shower rain,5.98334580777266e-08
categorical__holiday_Veterans Day,3.555276269987992e-08
categorical__weather_description_thunderstorm with rain,2.5555063197095054e-08
categorical__weather_description_thunderstorm with heavy rain,2.231834809825887e-10
categorical__weather_description_light rain and snow,0.0
categorical__weather_main_Squall,0.0
categorical__weather_main_Smoke,0.0
categorical__weather_description_freezing rain,0.0
categorical__weather_description_SQUALLS,0.0
categorical__weather_description_light shower snow,0.0
categorical__weather_description_smoke,0.0
categorical__weather_description_sleet,0.0
categorical__weather_description_shower drizzle,0.0
categorical__weather_description_shower snow,0.0
categorical__weather_description_proximity thunderstorm with rain,0.0
categorical__weather_description_proximity thunderstorm with drizzle,0.0
categorical__weather_description_thunderstorm with drizzle,0.0
categorical__weather_description_thunderstorm with light drizzle,0.0
