feature,importance,importance_percentage
numeric__traffic_lag_24,0.5734331751625664,57.34331751625664
numeric__traffic_change_3h,0.10383822320415101,10.383822320415101
numeric__hour,0.09474619957494314,9.474619957494314
numeric__traffic_lag_1,0.07654647141920248,7.654647141920249
numeric__traffic_change_1h,0.038399442503205636,3.8399442503205634
numeric__hour_cos,0.017531000060392904,1.7531000060392903
numeric__traffic_lag_12,0.009969804854088377,0.9969804854088377
numeric__day_of_week_sin,0.009466601298351729,0.9466601298351729
numeric__traffic_rolling_mean_12,0.008989229272029926,0.8989229272029926
numeric__traffic_rolling_mean_24,0.008376787757764726,0.8376787757764727
numeric__day_of_week,0.008150923192213593,0.8150923192213593
numeric__hour_sin,0.007902229948297184,0.7902229948297184
numeric__is_weekend,0.006595894587715895,0.6595894587715895
numeric__traffic_rolling_mean_3,0.005303335044454852,0.5303335044454852
numeric__traffic_rolling_std_6,0.005021129227456926,0.5021129227456925
numeric__traffic_rolling_std_24,0.004297489734054779,0.42974897340547785
numeric__traffic_lag_3,0.0032517586831718403,0.32517586831718404
numeric__traffic_lag_2,0.0026928405711653344,0.2692840571165334
numeric__traffic_rolling_mean_6,0.002517537895560368,0.2517537895560368
numeric__traffic_lag_6,0.0020015159270935453,0.20015159270935454
numeric__traffic_lag_48,0.0019913136743160264,0.19913136743160265
numeric__temp,0.001048514169485097,0.10485141694850969
numeric__temperature_celsius,0.0009975764169661357,0.09975764169661357
numeric__day,0.0008800440138407301,0.088004401384073
numeric__month_cos,0.0006408543932476467,0.06408543932476467
numeric__month,0.0006179919204079566,0.06179919204079566
numeric__year,0.000592850860087355,0.0592850860087355
numeric__is_rush_hour,0.0005896790815641779,0.05896790815641779
numeric__clouds_all,0.0005797807320164752,0.05797807320164752
numeric__month_sin,0.0004695792721588796,0.046957927215887964
numeric__day_of_week_cos,0.00044347383317481056,0.04434738331748105
categorical__weather_main_Clouds,0.00017854549261442249,0.017854549261442247
numeric__rain_1h,0.00015692394949635977,0.015692394949635976
categorical__holiday_Washingtons Birthday,9.747018426283311e-05,0.009747018426283312
categorical__weather_description_light snow,9.190861207982315e-05,0.009190861207982315
categorical__holiday_Memorial Day,8.403008011759448e-05,0.008403008011759448
categorical__weather_description_Sky is Clear,8.393108325709923e-05,0.008393108325709924
categorical__weather_description_sky is clear,8.154057718836477e-05,0.008154057718836476
categorical__holiday_Christmas Day,7.922047343666311e-05,0.007922047343666312
categorical__holiday_Independence Day,7.785375266710888e-05,0.007785375266710888
categorical__holiday_Columbus Day,7.421399481988195e-05,0.007421399481988195
categorical__weather_description_overcast clouds,7.338512938608705e-05,0.007338512938608705
categorical__weather_description_few clouds,7.313074286176621e-05,0.007313074286176622
categorical__weather_description_scattered clouds,7.187196553639517e-05,0.007187196553639517
categorical__holiday_Labor Day,6.712071745561926e-05,0.006712071745561926
categorical__weather_main_Clear,6.479686795020556e-05,0.006479686795020556
categorical__weather_main_Mist,6.350104160835119e-05,0.006350104160835119
categorical__weather_description_broken clouds,5.765014252828291e-05,0.005765014252828291
categorical__weather_description_mist,5.60747883949111e-05,0.00560747883949111
categorical__holiday_Thanksgiving Day,5.274355495999165e-05,0.005274355495999165
categorical__holiday_New Years Day,5.043941771136981e-05,0.005043941771136981
categorical__weather_description_haze,4.654522590274173e-05,0.004654522590274174
categorical__weather_main_Rain,4.302993456476626e-05,0.004302993456476625
categorical__holiday_Martin Luther King Jr Day,4.084166787695362e-05,0.004084166787695362
categorical__weather_main_Snow,3.978097080510415e-05,0.003978097080510415
categorical__weather_main_Drizzle,3.778224533551724e-05,0.003778224533551724
categorical__weather_main_Haze,3.760688519265323e-05,0.0037606885192653233
categorical__holiday_State Fair,3.5768270589885846e-05,0.0035768270589885847
categorical__holiday_Veterans Day,3.341746104172573e-05,0.0033417461041725725
categorical__weather_description_light rain,3.314208179807702e-05,0.003314208179807702
categorical__weather_description_heavy snow,2.2330862957070316e-05,0.0022330862957070314
categorical__weather_description_moderate rain,2.0993214975760755e-05,0.0020993214975760753
categorical__weather_description_light intensity drizzle,1.9040660434117206e-05,0.0019040660434117207
categorical__weather_description_drizzle,1.888363327808842e-05,0.0018883633278088422
categorical__weather_main_Fog,1.5368145092995547e-05,0.0015368145092995546
categorical__weather_description_fog,1.428963678585689e-05,0.001428963678585689
categorical__weather_main_Thunderstorm,9.020684518259871e-06,0.0009020684518259871
categorical__weather_description_heavy intensity rain,6.350835072862239e-06,0.0006350835072862239
numeric__snow_1h,4.2820636733271985e-06,0.00042820636733271984
categorical__weather_description_proximity shower rain,9.50688623131934e-07,9.50688623131934e-05
categorical__weather_description_snow,6.233585039869612e-07,6.233585039869612e-05
categorical__weather_description_proximity thunderstorm,2.397823919713204e-07,2.397823919713204e-05
categorical__weather_description_heavy intensity drizzle,9.335038661686373e-08,9.335038661686374e-06
categorical__weather_description_thunderstorm,1.614892299107316e-08,1.614892299107316e-06
categorical__weather_description_light shower snow,1.3377965682618891e-09,1.3377965682618892e-07
categorical__weather_main_Squall,0.0,0.0
categorical__weather_description_light intensity shower rain,0.0,0.0
categorical__weather_description_freezing rain,0.0,0.0
categorical__weather_description_SQUALLS,0.0,0.0
categorical__weather_description_proximity thunderstorm with rain,0.0,0.0
categorical__weather_description_thunderstorm with heavy rain,0.0,0.0
categorical__weather_description_thunderstorm with light drizzle,0.0,0.0
categorical__weather_description_thunderstorm with light rain,0.0,0.0
categorical__weather_description_very heavy rain,0.0,0.0
