hour,average_actual,average_predicted,average_absolute_error
0,516.1212814645309,599.6137843373753,99.6643340150573
1,386.3623733246159,417.48212849882196,50.26781493452938
2,376.82657731284735,396.8174189671434,40.1801511978834
3,733.002451781628,748.8775067033197,61.74805142657194
4,2207.7240928407973,2146.9312243293352,152.34995171975643
5,4173.005230467473,4159.837265367827,201.68226022185024
6,4782.859594638771,4806.61839001031,276.8133534838862
7,4634.62471395881,4672.553580453364,263.76650075401164
8,4474.895881006865,4432.889558672597,206.81496814707558
9,4273.908466819222,4278.059453334081,171.1302699975318
10,4545.995433789954,4560.486178097102,145.24667829200982
11,4778.3835616438355,4757.466266728507,150.81960373390385
12,4765.767123287671,4804.841530893105,154.77838547977922
13,4950.74200913242,5008.661874168721,162.55645443215744
14,5318.466324200913,5271.691769859308,195.07517986714274
15,5824.5331050228315,5669.1801476472965,285.76359215261056
16,5397.378424657534,5355.548226781989,223.7146368146377
17,4352.2168949771685,4361.822861899823,204.90405857089144
18,3387.5525114155253,3395.605568477346,180.54253436272595
19,2956.388127853881,2943.0259695763257,172.10271945611618
20,2752.2671232876714,2727.9606898150373,248.0675348302377
21,2257.187214611872,2281.274828243183,310.5014181727023
22,1554.2933789954338,1544.9329951983102,282.13119280539036
23,856.6613272311213,956.3927265293055,155.15176096543613
