date_time,traffic_volume,temp,rain_1h,snow_1h,clouds_all,holiday,weather_main,weather_description,hour,day,month,year,day_of_week,is_weekend,is_rush_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,temperature_celsius,traffic_lag_1,traffic_lag_2,traffic_lag_3,traffic_lag_6,traffic_lag_12,traffic_lag_24,traffic_lag_48,traffic_rolling_mean_3,traffic_rolling_mean_6,traffic_rolling_mean_12,traffic_rolling_mean_24,traffic_rolling_std_6,traffic_rolling_std_24,traffic_change_1h,traffic_change_3h,target_next_hour
2012-10-04 09:00:00,5309.0,284.98,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,9,4,10,2012,3,0,0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,11.83000000000004,5985.0,6990.0,5689.0,367.0,2637.0,5471.0,5545.0,6221.333333333333,3765.3333333333335,2441.6666666666665,3707.5416666666665,2836.9570082513874,2215.9365558256504,-1005.0,296.0,4603.0
2012-10-04 10:00:00,4603.0,289.18,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,10,4,10,2012,3,0,0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,16.03000000000003,5309.0,5985.0,6990.0,835.0,1777.0,5346.333333333333,4516.0,6094.666666666667,4589.0,2664.333333333333,3700.7916666666665,2324.0181582767377,2210.571545681089,-676.0,-1681.0,4884.0
2012-10-04 11:00:00,4884.0,291.55,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,11,4,10,2012,3,0,0,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,18.400000000000038,4603.0,5309.0,5985.0,2726.0,1015.0,5221.666666666667,4767.0,5299.0,5217.0,2899.833333333333,3669.819444444445,1452.355190716101,2191.639853209356,-706.0,-1382.0,5104.0
2012-10-04 12:00:00,5104.0,294.97,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,12,4,10,2012,3,0,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,21.82000000000005,4884.0,4603.0,5309.0,5689.0,598.0,5097.0,5026.0,4932.0,5576.666666666667,3222.25,3655.75,857.4759860583098,2182.3084556616127,281.0,-425.0,5178.0
2012-10-04 13:00:00,5178.0,296.38,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,13,4,10,2012,3,0,0,-0.2588190451025208,-0.9659258262890684,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,23.230000000000015,5104.0,4884.0,4603.0,6990.0,369.0,4887.0,4918.0,4863.666666666667,5479.166666666667,3597.75,3656.0416666666665,875.2237237796234,2182.5099129047585,220.0,501.0,5501.0
2012-10-04 14:00:00,5501.0,297.32,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,14,4,10,2012,3,0,0,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,24.170000000000016,5178.0,5104.0,4884.0,5985.0,312.0,5337.0,5181.0,5055.333333333333,5177.166666666667,3998.5,3668.1666666666665,467.1065902625109,2190.439794368616,74.0,294.0,5713.0
2012-10-04 15:00:00,5713.0,298.17,0.0,0.0,1.0,Columbus Day,Clear,sky is clear,15,4,10,2012,3,0,1,-0.7071067811865471,-0.7071067811865479,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,25.02000000000004,5501.0,5178.0,5104.0,5309.0,367.0,5692.0,5584.0,5261.0,5096.5,4430.916666666667,3675.0,317.5447999889185,2196.120710232715,323.0,397.0,6292.0
2012-10-04 16:00:00,6292.0,298.06,0.0,0.0,20.0,Columbus Day,Clouds,few clouds,16,4,10,2012,3,0,1,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,24.910000000000025,5713.0,5501.0,5178.0,4603.0,835.0,6137.0,6015.0,5464.0,5163.833333333333,4876.416666666667,3675.875,402.9607507768829,2196.9633056344724,212.0,535.0,6057.0
2012-10-04 17:00:00,6057.0,297.67,0.0,0.0,20.0,Columbus Day,Clouds,few clouds,17,4,10,2012,3,0,1,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,24.52000000000004,6292.0,5713.0,5501.0,4884.0,2726.0,5380.0,5791.0,5835.333333333333,5445.333333333333,5331.166666666667,3682.3333333333335,508.8534825140436,2204.726852186824,579.0,791.0,4907.0
2012-10-04 18:00:00,4907.0,296.36,0.0,0.0,40.0,Columbus Day,Clouds,scattered clouds,18,4,10,2012,3,0,0,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,23.21000000000004,6057.0,6292.0,5713.0,5104.0,5689.0,4623.0,4770.0,6020.666666666667,5640.833333333333,5608.75,3710.5416666666665,474.21067751229583,2231.559641365432,-235.0,344.0,3503.0
